symbol,timeframe,scenario,entryAt,direction,bigbar,chopCut,alignCut,dedupCut,touchStatus,touchNetR,closeStatus,closeNetR,confirmStatus,confirmNetR,exit141R,exitCanonR,touchDelayBars,tpDistRatio,fixed1R,fixed15R,fixed2R,fixed3R
BTC/USDT,15m,ote,1767972600000,short,false,true,false,true,entered,0.2600027716400583,entered,0.042063345035810384,entered,0.042063345035810384,-1.0284117027411712,-1.0284117027411712,178,0.2722646310432591,-1.0284117027411712,-1.0284117027411712,-1.0284117027411712,-1.0284117027411712
BTC/USDT,15m,ote,1767888000000,short,false,true,true,true,entered,0.22751183145693316,missed-tp,0,missed-tp,0,0.7492446558844155,0.3242141688656059,39,0.2722646310432595,0.955392747487465,1.455492747487465,-1.1015163181532037,-1.1015163181532037
BTC/USDT,15m,deep,1767894300000,short,false,true,true,true,entered,1.5255065432595856,entered,1.7452288439306192,entered,0.755980924214407,2.5990196322648376,1.1953144940533362,46,1.6178010471204571,0.9075819359297044,1.407681935929686,1.9077819359297044,2.9079819359297043
BTC/USDT,15m,ote,1767887100000,short,false,false,false,true,entered,-1.0209085267990863,entered,-1.0322167605389176,entered,-1.0315517673943695,-1.0209085267990863,-1.0209085267990863,5,0.27226463104325677,-1.0209085267990863,-1.0209085267990863,-1.0209085267990863,-1.0209085267990863
BTC/USDT,15m,ote,1768164300000,short,false,true,true,true,entered,0.20836358050810494,entered,0.06975744609728014,entered,0.0073368744098389616,0.7300964049355763,0.293098261073771,2,0.27226463104324483,-1.1445998827880342,-1.1445998827880342,-1.1445998827880342,-1.1445998827880342
BTC/USDT,15m,deep,1768173300000,short,false,true,true,true,entered,-1.297739025841345,entered,-1.2393930276263834,entered,-1.3378992578849696,-1.297739025841345,-1.297739025841345,12,1.6178010471203685,0.8681826551816245,-1.297739025841345,-1.297739025841345,-1.297739025841345
BTC/USDT,15m,ote,1768206600000,long,true,true,false,true,entered,0.22439259399483596,missed-tp,0,missed-tp,0,-1.106889564274999,-1.106889564274999,30,0.27226463104326637,-1.106889564274999,-1.106889564274999,-1.106889564274999,-1.106889564274999
BTC/USDT,15m,deep,1768206600000,long,false,true,false,false,entered,1.519511463036435,missed-tp,0,missed-tp,0,-1.2197235537176627,-1.2197235537176627,30,1.6178010471203759,0.9018339761254832,1.401733976125503,1.9016339761254832,-1.2197235537176627
BTC/USDT,15m,ote,1768203000000,long,false,true,false,true,entered,-1.0540238443264327,entered,-1.0875744506440725,entered,-1.089664193002258,-1.0540238443264327,-1.0540238443264327,18,0.27226463104325477,-1.0540238443264327,-1.0540238443264327,-1.0540238443264327,-1.0540238443264327
BTC/USDT,15m,deep,1768206600000,long,true,true,false,true,entered,-1.1109474912056976,entered,-1.2892941418764303,entered,-1.200439689578716,-1.1109474912056976,-1.1109474912056976,22,1.6178010471204365,-1.1109474912056976,-1.1109474912056976,-1.1109474912056976,-1.1109474912056976
BTC/USDT,15m,ote,1768415400000,long,false,true,false,true,entered,0.25487525941205186,missed-tp,0,missed-tp,0,-1.0383035670862408,-1.0383035670862408,9,0.27226463104325643,-1.0383035670862408,-1.0383035670862408,-1.0383035670862408,-1.0383035670862408
BTC/USDT,15m,ote,1768462200000,short,false,true,false,true,entered,0.2442742355992117,entered,0.2047161542356958,entered,0.11402632952036666,0.7660070600266927,0.3514530755968143,16,0.2722646310432537,0.9721551516297493,1.472255151629744,1.9723551516297493,2.972555151629749
BTC/USDT,15m,ote,1768596300000,short,false,true,false,true,entered,0.2565771507453337,entered,0.24292716770186337,entered,0.1687795117392815,0.778309975172816,1.4145695171575503,21,0.27226463104326004,0.9844580667758651,1.4845580667758649,1.984658066775865,2.9848580667758653
BTC/USDT,15m,ote,1768707900000,short,false,true,false,true,entered,0.18966302571845875,entered,0.07150203469693814,entered,0.001415512409933789,0.7113958501459372,1.347655392130668,10,0.27226463104325266,0.9175439417489974,1.4176439417490132,1.9177439417489974,2.9179439417489976
BTC/USDT,15m,ote,1768777200000,long,true,true,false,true,entered,0.1532108570749725,missed-tp,0,missed-tp,0,0.6747350301029447,0.20349327887914537,18,0.2722646310432496,-1.267048472344654,-1.267048472344654,-1.267048472344654,-1.267048472344654
BTC/USDT,15m,deep,1768777200000,long,false,true,false,false,entered,1.3730485174369687,missed-tp,0,missed-tp,0,2.446132287070433,0.948083552876975,18,1.6178010471203854,0.7553710305260075,1.2552710305259605,1.7551710305260073,-1.5492651813164833
BTC/USDT,15m,ote,1768925700000,short,false,true,false,true,entered,0.20547178794561216,missed-tp,0,missed-tp,0,0.7272046123731092,1.3634641543578505,5,0.2722646310432737,0.9333527039761298,1.4334527039761298,1.93355270397613,2.9337527039761295
BTC/USDT,15m,ote,1769023800000,short,false,false,false,true,entered,0.2678203530427131,entered,0.27433810082951504,entered,0.2526200081909226,0.7895531774701945,1.425812719454928,10,0.2722646310432584,0.9957012690732461,1.495801269073246,1.995901269073246,2.9961012690732463
BTC/USDT,15m,deep,1769022900000,short,false,false,false,true,entered,-1.0749308716242751,entered,-1.1283066110659077,entered,-1.1742266308095421,-1.0749308716242751,-1.0749308716242751,9,1.6178010471204294,0.9672085015003222,-1.0749308716242751,-1.0749308716242751,-1.0749308716242751
BTC/USDT,15m,ote,1769195700000,long,false,true,false,true,entered,-1.0296206322787858,entered,-1.0478290098436596,entered,-1.0472166882572582,-1.0296206322787858,-1.0296206322787858,7,0.27226463104325993,-1.0296206322787858,-1.0296206322787858,-1.0296206322787858,-1.0296206322787858
BTC/USDT,15m,deep,1769200200000,long,false,true,false,true,entered,-1.0978741207567002,entered,-1.1368757449147884,entered,-1.125701857085185,-1.0978741207567002,-1.0978741207567002,12,1.6178010471204143,-1.0978741207567002,-1.0978741207567002,-1.0978741207567002,-1.0978741207567002
BTC/USDT,15m,ote,1769415300000,short,false,true,false,true,entered,0.22027359706696187,missed-tp,0,missed-tp,0,0.7420064214944359,0.31245203798190696,64,0.2722646310432519,0.9481545130975013,1.4482545130975013,-1.117802345530622,-1.117802345530622
BTC/USDT,15m,ote,1769390100000,short,false,true,false,true,entered,0.2620995083868402,entered,0.20001730328281433,entered,0.15183087844547727,0.7838323328143196,1.4200918747990552,23,0.27226463104325843,0.9899804244173731,1.490080424417373,1.990180424417373,2.990380424417373
BTC/USDT,15m,ote,1769784300000,short,false,true,false,true,entered,0.24106200787578608,missed-tp,0,missed-tp,0,0.7627948323032666,0.3462332055462383,52,0.2722646310432619,0.9689429239063155,1.4690429239063088,1.9691429239063156,2.9693429239063156
