scenario,group,stopRatio,takeRatio,n,totalR,avgR,wr
ote,H2,61.8,161,1981,-71.357,-0.0360,18.9
ote,all,61.8,200,3958,-24.949,-0.0063,13.6
ote,15m,61.8,200,1152,-167.528,-0.1454,12.8
ote,30m,61.8,200,1373,185.130,0.1348,15.3
ote,1h,61.8,200,1433,-42.552,-0.0297,12.8
ote,BTC/USDT,61.8,200,329,-4.734,-0.0144,14.3
ote,ETH/USDT,61.8,200,247,34.178,0.1384,15.4
ote,SOL/USDT,61.8,200,306,84.379,0.2757,17.0
ote,XRP/USDT,61.8,200,294,-97.781,-0.3326,9.9
ote,BNB/USDT,61.8,200,309,24.937,0.0807,15.5
ote,DOGE/USDT,61.8,200,258,-48.695,-0.1887,11.2
ote,ADA/USDT,61.8,200,278,-80.585,-0.2899,10.1
ote,AVAX/USDT,61.8,200,267,-24.134,-0.0904,12.4
ote,LINK/USDT,61.8,200,308,83.978,0.2727,16.9
ote,SUI/USDT,61.8,200,311,55.002,0.1769,15.4
ote,TON/USDT,61.8,200,272,-16.587,-0.0610,12.9
ote,NEAR/USDT,61.8,200,254,-55.078,-0.2168,10.6
ote,APT/USDT,61.8,200,273,-52.221,-0.1913,11.0
ote,LTC/USDT,61.8,200,252,72.393,0.2873,17.5
ote,H1,61.8,200,1977,-4.871,-0.0025,13.4
ote,H2,61.8,200,1981,-20.078,-0.0101,13.9
ote,all,61.8,241,3958,174.475,0.0441,11.0
ote,15m,61.8,241,1152,-175.812,-0.1526,9.8
ote,30m,61.8,241,1373,257.063,0.1872,12.3
ote,1h,61.8,241,1433,93.225,0.0651,10.7
ote,BTC/USDT,61.8,241,329,23.280,0.0708,11.9
ote,ETH/USDT,61.8,241,247,73.078,0.2959,13.4
ote,SOL/USDT,61.8,241,306,50.354,0.1646,12.1
ote,XRP/USDT,61.8,241,294,-69.802,-0.2374,8.5
ote,BNB/USDT,61.8,241,309,23.038,0.0746,12.0
ote,DOGE/USDT,61.8,241,258,-85.223,-0.3303,7.4
ote,ADA/USDT,61.8,241,278,-33.732,-0.1213,9.4
ote,AVAX/USDT,61.8,241,267,-40.309,-0.1510,9.0
ote,LINK/USDT,61.8,241,308,167.860,0.5450,15.6
ote,SUI/USDT,61.8,241,311,64.893,0.2087,12.2
ote,TON/USDT,61.8,241,272,-17.185,-0.0632,9.9
ote,NEAR/USDT,61.8,241,254,-21.241,-0.0836,9.4
ote,APT/USDT,61.8,241,273,-65.047,-0.2383,8.1
ote,LTC/USDT,61.8,241,252,104.511,0.4147,14.7
ote,H1,61.8,241,1977,91.739,0.0464,10.8
ote,H2,61.8,241,1981,82.736,0.0418,11.3
ote,all,70,88.6,3958,573.221,0.1448,61.5
ote,15m,70,88.6,1152,-8.355,-0.0073,59.0
ote,30m,70,88.6,1373,229.730,0.1673,62.1
ote,1h,70,88.6,1433,351.846,0.2455,62.8
ote,BTC/USDT,70,88.6,329,41.944,0.1275,64.1
ote,ETH/USDT,70,88.6,247,14.446,0.0585,57.9
ote,SOL/USDT,70,88.6,306,43.790,0.1431,61.1
ote,XRP/USDT,70,88.6,294,37.786,0.1285,61.6
ote,BNB/USDT,70,88.6,309,-18.331,-0.0593,57.3
ote,DOGE/USDT,70,88.6,258,31.679,0.1228,59.3
ote,ADA/USDT,70,88.6,278,46.842,0.1685,61.9
ote,AVAX/USDT,70,88.6,267,46.837,0.1754,61.4
