symbol,timeframe,scenario,entryAt,direction,bigbar,touchStatus,touchNetR,closeStatus,closeNetR,confirmStatus,confirmNetR
BTC/USDT,15m,ote,1775520000000,short,false,entered,0.24981766937791863,missed-tp,0,missed-tp,0
BTC/USDT,15m,ote,1775696400000,long,false,entered,0.2671322046652847,entered,0.22425603253739226,entered,0.2041074121229841
BTC/USDT,15m,ote,1775860200000,long,false,entered,0.2510032771216698,entered,0.16768563585823082,entered,0.15714514151918207
BTC/USDT,15m,ote,1776192300000,long,false,entered,0.26365724716416544,entered,0.20585604989141837,entered,0.15424710444260764
BTC/USDT,15m,ote,1776211200000,short,false,entered,0.25092673189263326,missed-tp,0,missed-tp,0
BTC/USDT,15m,ote,1776347100000,long,true,entered,-1.088635234907409,missed-tp,0,missed-tp,0
BTC/USDT,15m,deep,1776347100000,long,false,entered,-1.1821635985267611,missed-tp,0,missed-tp,0
BTC/USDT,15m,ote,1776298500000,long,false,entered,0.24283899073973617,entered,0.09622377879358276,entered,0.09622377879358276
BTC/USDT,15m,deep,1776347100000,long,false,entered,-1.134324463028175,entered,-1.3357557184750797,entered,-1.3030481329020824
BTC/USDT,15m,ote,1776374100000,long,false,entered,0.2530118651635606,entered,0.17284734908779475,entered,0.1602667736660452
BTC/USDT,15m,ote,1776612600000,long,false,entered,0.2344416558667851,missed-tp,0,missed-tp,0
BTC/USDT,15m,deep,1776618000000,long,false,entered,-1.1732006062816942,entered,-1.265030103456975,entered,-1.2597997279248065
BTC/USDT,15m,ote,1776666600000,short,false,entered,0.2501733712053984,missed-tp,0,missed-tp,0
BTC/USDT,15m,ote,1776726900000,long,false,entered,0.2569976197441832,entered,0.26305285912098436,entered,0.19324917389408738
BTC/USDT,15m,ote,1776938400000,long,false,entered,0.26170762213705956,missed-tp,0,missed-tp,0
BTC/USDT,15m,ote,1776899700000,long,false,entered,0.26319286624877697,entered,0.23559237965253352,entered,0.19756833953424438
BTC/USDT,15m,ote,1776945600000,short,false,entered,0.23307334423232726,entered,0.08440343273230978,entered,0.13528399080348244
BTC/USDT,15m,deep,1776955500000,short,false,entered,-1.1833431694375076,entered,-1.2727366078090085,entered,-1.231848350253813
BTC/USDT,15m,ote,1777464900000,long,false,entered,-1.0479323902419324,entered,-1.0723925118483413,entered,-1.0718147347212894
BTC/USDT,15m,ote,1777555800000,short,false,entered,0.24972109927444758,missed-tp,0,missed-tp,0
BTC/USDT,15m,ote,1777509000000,short,false,entered,0.2550080868178441,entered,0.19214957133436011,entered,0.2864847340015435
BTC/USDT,15m,ote,1777770000000,long,false,entered,0.19616373866336484,entered,0.32498926174495224,entered,1.0578125056637844
BTC/USDT,15m,deep,1777770900000,long,false,entered,1.4614280067785907,entered,0.6782124538063781,entered,1.0578125056637844
BTC/USDT,15m,ote,1777843800000,long,true,entered,0.15282168533007962,missed-tp,0,missed-tp,0
BTC/USDT,15m,deep,1777843800000,long,false,entered,1.3722477609146528,missed-tp,0,missed-tp,0
BTC/USDT,15m,ote,1777858200000,short,false,entered,-1.0992305478707833,entered,-1.1630709278350515,missed-stop,0
BTC/USDT,15m,deep,1777858200000,short,false,entered,-1.2043874623728672,entered,-1.1630709278350515,missed-stop,0
BTC/USDT,15m,ote,1777888800000,long,true,entered,0.23752874801010376,missed-tp,0,missed-tp,0
BTC/USDT,15m,deep,1777888800000,long,false,entered,1.546540303497221,missed-tp,0,missed-tp,0
BTC/USDT,15m,ote,1778076000000,long,false,entered,0.23098675690709836,entered,0.23177368838378798,missed-tp,0
BTC/USDT,15m,deep,1778108400000,long,false,entered,1.5330795574057405,entered,0.7260410479540802,entered,0.3446733987305433
BTC/USDT,15m,ote,1778465700000,long,false,entered,0.2558134010257397,entered,0.1865016406174119,entered,0.5783011749515855
BTC/USDT,15m,ote,1778611500000,short,false,entered,0.25394632247565874,entered,0.18886722365744557,entered,0.20656445944437532
BTC/USDT,15m,ote,1778670000000,long,false,entered,-1.0864925591082217,entered,-1.1545650323646868,entered,-1.154037084820202
BTC/USDT,15m,deep,1778674500000,long,false,entered,-1.1777548467514733,entered,-1.2176768887162581,entered,-1.3118150097465837
BTC/USDT,15m,ote,1778768100000,short,false,entered,-1.063138878924606,entered,-1.0977326325806736,missed-stop,0
BTC/USDT,15m,ote,1778768100000,short,false,entered,0.2585077557689648,entered,0.2279083070496964,entered,1.998072610868183
BTC/USDT,15m,ote,1778737500000,short,false,entered,0.26009092621217356,entered,0.20916045741911707,entered,0.21525809007662336
BTC/USDT,15m,ote,1778986800000,short,false,entered,-1.1667134964218453,entered,-1.2671855886663448,entered,-1.3151766129032285
BTC/USDT,15m,deep,1778992200000,short,false,entered,-1.343239812009342,entered,-1.5660822222222222,entered,-1.4978107272727272
BTC/USDT,15m,ote,1779133500000,short,false,entered,0.23637183787839666,entered,0.18688857974388484,entered,0.23802360655737348
BTC/USDT,15m,deep,1779149700000,short,false,entered,1.5437368182523794,entered,0.7574861896551673,entered,0.6680801178203033
BTC/USDT,15m,ote,1779358500000,long,false,entered,0.2496200380110319,entered,0.25382394366197125,entered,0.32756093440152834
BTC/USDT,15m,ote,1779546600000,short,false,entered,0.26148161481483134,entered,0.2667852484132222,entered,0.29835809249635614
BTC/USDT,15m,ote,1779660000000,short,true,entered,-1.1422147017979032,missed-stop,0,missed-stop,0
BTC/USDT,15m,deep,1779660000000,short,true,entered,-1.2928312974166287,missed-stop,0,missed-stop,0
BTC/USDT,15m,ote,1779796800000,long,false,entered,0.17591262078997483,missed-tp,0,missed-tp,0
BTC/USDT,15m,deep,1779802200000,long,false,entered,1.419759476285179,missed-tp,0,missed-tp,0
BTC/USDT,15m,ote,1780074900000,short,false,entered,0.26447605072884456,entered,0.22291513428688742,entered,0.22291513428688742
BTC/USDT,15m,ote,1780263900000,short,false,entered,0.19629056547837326,missed-tp,0,missed-tp,0
BTC/USDT,15m,deep,1780268400000,short,false,entered,1.4612659279215523,entered,0.23568088362688586,entered,0.23568088362688586
BTC/USDT,15m,ote,1780523100000,short,false,entered,0.2566287715968201,entered,0.18254965815861887,missed-tp,0
BTC/USDT,15m,ote,1780644600000,short,false,entered,0.25853517882939314,entered,0.3988434814952552,entered,0.3351448553340016
BTC/USDT,15m,deep,1780869600000,short,false,entered,1.5893399229316882,missed-tp,0,missed-tp,0
BTC/USDT,15m,ote,1780809300000,short,false,entered,0.26301467657496563,entered,0.10099446788869683,entered,0.10099446788869683
BTC/USDT,15m,deep,1780869600000,short,false,entered,1.5985568999683872,entered,1.9955072325915253,entered,0.8845412621359161
BTC/USDT,15m,ote,1780869600000,short,false,entered,0.2705451125445805,entered,0.26079300151539264,entered,0.20598205428588418
BTC/USDT,15m,ote,1780862400000,short,false,entered,0.23393857893997985,missed-tp,0,missed-tp,0
BTC/USDT,15m,deep,1780869600000,short,true,entered,-1.1793374951430335,missed-stop,0,missed-stop,0
BTC/USDT,15m,ote,1780894800000,long,false,entered,0.25444621502337056,entered,0.23952163667523746,entered,0.11787176531203675
BTC/USDT,15m,ote,1781025300000,short,false,entered,0.26217091924341396,entered,0.20268908070951663,entered,0.17581005716051534
BTC/USDT,15m,ote,1781112600000,long,false,entered,0.24720925170978394,entered,0.16779264233576643,missed-tp,0
BTC/USDT,15m,deep,1781127900000,long,false,entered,1.566458826816445,entered,0.888859631728041,entered,1.2510370405101399
BTC/USDT,15m,ote,1781469000000,short,false,entered,-1.084507440196584,entered,-1.1248307479224378,entered,-1.118569903934728
BTC/USDT,15m,deep,1781471700000,short,true,entered,-1.1740933193573675,missed-stop,0,missed-stop,0
BTC/USDT,15m,ote,1781766900000,short,false,entered,0.22962506943404837,entered,0.37777188778491333,entered,1.399244282321028
BTC/USDT,15m,deep,1781768700000,short,false,entered,1.5298547240187246,entered,1.2830732644494887,entered,1.399244282321028
BTC/USDT,15m,ote,1782333000000,short,false,entered,0.26221910506590124,entered,0.2727260891633543,entered,0.19493559685489717
BTC/USDT,15m,ote,1782333900000,short,false,entered,0.26833335510045164,entered,0.22447205517546467,entered,0.18064073126142594
BTC/USDT,15m,ote,1782640800000,long,false,entered,0.22111925035068952,entered,0.05326326057562886,entered,0.05326326057562886
BTC/USDT,15m,deep,1782651600000,long,false,entered,-1.2348777637560115,entered,-1.2179011431540692,entered,-1.2176756553335089
BTC/USDT,15m,ote,1783326600000,long,false,entered,0.1831951229737875,missed-tp,0,missed-tp,0
BTC/USDT,15m,deep,1783330200000,long,false,entered,1.4347438917732422,entered,1.867862310606059,entered,0.2148705457463851
BTC/USDT,15m,ote,1783307700000,long,false,entered,-1.070961408619552,entered,-1.1114824774946108,entered,-1.1019563912388455
BTC/USDT,15m,deep,1783329300000,long,false,entered,-1.1457980816098645,entered,-1.2727240971357372,entered,-1.2172406195786865
BTC/USDT,15m,ote,1783351800000,short,false,entered,0.25012159473882417,missed-tp,0,missed-tp,0
BTC/USDT,15m,deep,1783352700000,short,false,entered,-1.1044169102209223,entered,-1.190888922155689,entered,-1.162779890510949
BTC/USDT,15m,ote,1783347300000,short,false,entered,-1.031143540186136,entered,-1.0455575411782931,entered,-1.0446673874512584
BTC/USDT,15m,deep,1783352700000,short,true,entered,-1.0642922057233057,entered,-1.190888922155689,entered,-1.162779890510949
BTC/USDT,15m,ote,1783391400000,long,false,entered,0.26022967470701075,entered,0.16018450976940476,entered,0.16018450976940476
BTC/USDT,15m,deep,1783498500000,long,false,entered,1.593249540103949,entered,2.488709999999996,entered,3.304120430809374
BTC/USDT,15m,ote,1783558800000,short,false,entered,0.21931538445254878,missed-tp,0,missed-tp,0
BTC/USDT,15m,deep,1783577700000,short,false,entered,1.5086416025646374,missed-tp,0,missed-tp,0
BTC/USDT,15m,ote,1783526400000,short,false,entered,0.2264255679375179,missed-tp,0,missed-tp,0
BTC/USDT,15m,deep,1783530900000,short,true,entered,-1.2141195892735415,entered,-1.7575616319444636,entered,-1.5668876543209822
