symbol,timeframe,variant,period,anchor,trigger,atr,scenario,stop_mode,setups,entered,resolved,tp1_pct,tp2_pct,sl_pct,ev_full,ev_be,long_in,long_ev_full,long_ev_be,short_in,short_ev_full,short_ev_be
BTC/USDT,1h,pw3,full,global,choch,0,ote,zero,142,104,103,0.5385,0.3077,0.4519,-0.0247,0.0805,56,-0.0541,0.0935,48,0.0091,0.0656
BTC/USDT,1h,pw3,full,global,choch,0,ote,tight,142,104,104,0.4231,0.2115,0.5769,-0.0969,-0.0246,56,-0.1614,-0.0152,48,-0.0217,-0.0356
BTC/USDT,1h,pw3,full,global,choch,0,deep,zero,142,58,57,0.3103,0.2586,0.6724,0.1656,0.4392,31,0.3534,0.6564,27,-0.0430,0.1980
BTC/USDT,1h,pw3,full,global,choch,0,breaker,zero,82,55,55,0.5818,0.3818,0.4182,-0.1796,-0.0297,24,-0.2950,-0.1331,31,-0.0903,0.0503
BTC/USDT,1h,pw3,full,global,choch,5,ote,zero,101,71,70,0.5775,0.2958,0.4085,0.0507,0.1281,40,0.0119,0.1589,31,0.0995,0.0895
BTC/USDT,1h,pw3,full,global,choch,5,ote,tight,101,71,71,0.4930,0.2394,0.5070,0.0522,0.1261,40,0.0139,0.1874,31,0.1017,0.0470
BTC/USDT,1h,pw3,full,global,choch,5,deep,zero,101,31,30,0.2903,0.2258,0.6774,0.1073,0.3230,18,0.0856,0.3144,13,0.1357,0.3343
BTC/USDT,1h,pw3,full,global,choch,5,breaker,zero,55,33,33,0.5758,0.3636,0.4242,-0.1882,-0.0498,17,-0.2535,-0.0718,16,-0.1187,-0.0266
BTC/USDT,1h,pw5,full,local,bos,0,ote,zero,177,122,122,0.5902,0.3934,0.4098,0.0587,0.2309,67,-0.0093,0.1569,55,0.1416,0.3210
BTC/USDT,1h,pw5,full,local,bos,0,ote,tight,177,122,122,0.4672,0.2787,0.5328,-0.0027,0.1437,67,-0.0761,0.0750,55,0.0867,0.2274
BTC/USDT,1h,pw5,full,local,bos,0,deep,zero,177,66,66,0.3485,0.2273,0.6515,0.2863,0.4207,39,0.2304,0.3944,27,0.3671,0.4586
BTC/USDT,1h,pw5,full,local,bos,0,breaker,zero,97,70,70,0.8000,0.5143,0.2000,0.1280,0.3266,35,0.0474,0.2376,35,0.2086,0.4156
BTC/USDT,1h,pw5,full,local,bos,5,ote,zero,109,64,64,0.5625,0.3750,0.4375,0.0091,0.1732,32,-0.0470,0.0650,32,0.0651,0.2814
BTC/USDT,1h,pw5,full,local,bos,5,ote,tight,109,64,64,0.4219,0.2656,0.5781,-0.0995,0.0534,32,-0.1995,-0.1355,32,0.0006,0.2422
BTC/USDT,1h,pw5,full,local,bos,5,deep,zero,109,22,22,0.4091,0.3182,0.5909,0.5100,0.8041,14,0.5819,0.7636,8,0.3842,0.8750
BTC/USDT,1h,pw5,full,local,bos,5,breaker,zero,46,26,26,0.8462,0.5000,0.1538,0.1931,0.3721,9,0.2533,0.3844,17,0.1612,0.3656
BTC/USDT,1h,pw5,full,local,choch,0,ote,zero,114,90,89,0.5778,0.2667,0.4111,0.0481,0.0948,47,0.0919,0.1423,43,0.0012,0.0440
BTC/USDT,1h,pw5,full,local,choch,0,ote,tight,114,90,90,0.4889,0.2000,0.5111,0.0436,0.0615,47,-0.0917,-0.0818,43,0.1914,0.2181
BTC/USDT,1h,pw5,full,local,choch,0,deep,zero,114,61,60,0.2951,0.1803,0.6885,0.1073,0.1903,34,0.5659,0.5581,27,-0.4532,-0.2593
BTC/USDT,1h,pw5,full,local,choch,0,breaker,zero,66,53,53,0.6792,0.3208,0.3208,-0.0423,0.0446,26,-0.1323,0.0127,27,0.0444,0.0754
BTC/USDT,1h,pw5,full,local,choch,5,ote,zero,62,44,43,0.6136,0.2727,0.3636,0.1264,0.1655,25,0.0464,0.0732,19,0.2274,0.2820
BTC/USDT,1h,pw5,full,local,choch,5,ote,tight,62,44,44,0.5455,0.2273,0.4545,0.1643,0.1904,25,-0.0608,-0.0742,19,0.4605,0.5386
BTC/USDT,1h,pw5,full,local,choch,5,deep,zero,62,22,21,0.2727,0.0909,0.6818,0.0546,-0.0770,15,0.5819,0.3844,7,-1.0000,-1.0000
BTC/USDT,1h,pw5,full,local,choch,5,breaker,zero,31,19,19,0.5263,0.2632,0.4737,-0.2579,-0.1803,12,-0.2950,-0.1625,7,-0.1943,-0.2107
BTC/USDT,1h,pw5,full,global,bos,0,ote,zero,177,98,96,0.4898,0.2857,0.4898,-0.1031,-0.0002,50,-0.0847,-0.0343,48,-0.1221,0.0353
BTC/USDT,1h,pw5,full,global,bos,0,ote,tight,177,98,96,0.3776,0.2347,0.6020,-0.1773,-0.0422,50,-0.3030,-0.2171,48,-0.0463,0.1400
BTC/USDT,1h,pw5,full,global,bos,0,deep,zero,177,30,30,0.4333,0.2333,0.5667,0.5995,0.6358,19,0.7484,0.8096,11,0.3422,0.3356
BTC/USDT,1h,pw5,full,global,bos,0,breaker,zero,78,45,45,0.6889,0.3556,0.3111,-0.0287,0.0808,20,-0.1540,-0.1007,25,0.0716,0.2260
BTC/USDT,1h,pw5,full,global,bos,5,ote,zero,176,97,95,0.4948,0.2887,0.4845,-0.0936,0.0103,49,-0.0657,-0.0142,48,-0.1221,0.0353
