id,symbol,timeframe,scenario,direction,entryAt,exitAt,netR,status,equityBefore,equityAfter,pnl,openRiskPct
BNB/USDT|1h|deep|3286:low:3256:515.09:structural|3323,BNB/USDT,1h,deep,short,1723885200000,1723906800000,-1.102952442541485,accepted,9798.31349384825,9744.278124844115,-54.035369004135596,1.5
DOGE/USDT|1h|deep|3271:low:3244:0.10324:structural|3401,DOGE/USDT,1h,deep,short,1724112000000,1724112000000,1.2620305132847258,accepted,9744.278124844115,9805.766006461547,61.48788161743072,1.5
ADA/USDT|1h|breaker|3387:high:3350:0.3399:structural|3400,ADA/USDT,1h,breaker,long,1724162400000,1724162400000,0.16954790000000022,accepted,9805.766006461547,9814.07874163298,8.312735171434719,1.5
LINK/USDT|1h|deep|3392:high:3354:10.468:structural|3401,LINK/USDT,1h,deep,long,1724166000000,1724270400000,3.9383612683098876,accepted,9814.07874163298,10007.335679633934,193.25693800095385,1.5
DOGE/USDT|1h|deep|3300:low:3207:0.10001:structural|3444,DOGE/USDT,1h,deep,short,1724266800000,1724425200000,-1.0364991205338112,capacity-rejected,9814.07874163298,9814.07874163298,0,1.5
DOGE/USDT|1h|ote|3445:high:3256:0.10671:structural|3451,DOGE/USDT,1h,ote,long,1724292000000,1724695200000,0.3782258467023177,accepted,10007.335679633934,10026.260844687253,18.925165053319294,1.5
TON/USDT|4h|deep|996:high:899:6.8085:structural|1058,TON/USDT,4h,deep,long,1724529600000,1725408000000,-1.0087246774289285,capacity-rejected,10007.335679633934,10007.335679633934,0,1.5
NEAR/USDT|1h|ote|3473:high:2911:5.123:structural|3485,NEAR/USDT,1h,ote,long,1724569200000,1725228000000,-1.0059760115635374,capacity-rejected,10007.335679633934,10007.335679633934,0,1.5
LTC/USDT|1h|deep|3499:high:3371:67.39:structural|3532,LTC/USDT,1h,deep,long,1724637600000,1724792400000,-1.043113260920528,capacity-rejected,10007.335679633934,10007.335679633934,0,1.5
LINK/USDT|1h|deep|3539:high:3500:12.553:structural|3543,LINK/USDT,1h,deep,long,1724677200000,1724698800000,-1.071478054524814,capacity-rejected,10007.335679633934,10007.335679633934,0,1.5
AVAX/USDT|1h|ote|3552:low:3514:26.118:structural|3559,AVAX/USDT,1h,ote,short,1724734800000,1724796000000,1.4046048024901774,accepted,10026.260844687253,10096.675515354587,70.41467066733469,1.5
NEAR/USDT|1h|deep|3540:low:3520:4.701:structural|3544,NEAR/USDT,1h,deep,short,1724781600000,1724860800000,3.95211208268172,capacity-rejected,10026.260844687253,10026.260844687253,0,1.5
APT/USDT|1h|ote|3548:low:3522:6.944:structural|3561,APT/USDT,1h,ote,short,1724846400000,1724936400000,0.37829675070578994,accepted,10096.675515354587,10115.773213056535,19.09769770194674,1.5
BNB/USDT|1h|deep|3641:low:3621:530.42:structural|3654,BNB/USDT,1h,deep,short,1725076800000,1725199200000,3.8700866545237846,accepted,10115.773213056535,10311.51780761673,195.74459456019642,1.5
SUI/USDT|1h|deep|3669:low:3613:0.7657:structural|3700,SUI/USDT,1h,deep,short,1725343200000,1725519600000,-1.042158083009155,accepted,10311.51780761673,10257.786649460228,-53.73115815650308,1.5
LINK/USDT|1h|deep|3723:high:3694:10.768:structural|3735,LINK/USDT,1h,deep,long,1725368400000,1725386400000,-1.0693132366760638,capacity-rejected,10311.51780761673,10311.51780761673,0,1.5
SUI/USDT|1h|deep|3704:high:3661:0.8107:structural|3719,SUI/USDT,1h,deep,long,1725411600000,1725735600000,3.963455665401519,capacity-rejected,10311.51780761673,10311.51780761673,0,1.5
XRP/USDT|1h|deep|3733:high:3709:0.5617:structural|3762,XRP/USDT,1h,deep,long,1725411600000,1725411600000,-1.1036975856549935,capacity-rejected,10311.51780761673,10311.51780761673,0,1.5
LINK/USDT|1h|ote|3747:low:3696:10.222:structural|3753,LINK/USDT,1h,ote,short,1725433200000,1725656400000,1.4065146487731315,capacity-rejected,10311.51780761673,10311.51780761673,0,1.5
LINK/USDT|1h|deep|3809:low:3747:9.812:structural|3846,LINK/USDT,1h,deep,short,1725768000000,1725865200000,-1.0556925012666778,accepted,10257.786649460228,10203.641307233085,-54.14534222714301,1.5
SUI/USDT|4h|deep|2896:low:2855:0.8322:structural|2962,SUI/USDT,4h,deep,short,1725782400000,1726142400000,-1.016586840376103,capacity-rejected,10257.786649460228,10257.786649460228,0,1.5
NEAR/USDT|1h|deep|3787:low:3719:3.549:structural|3823,NEAR/USDT,1h,deep,short,1725786000000,1725897600000,-1.0362304106800926,capacity-rejected,10257.786649460228,10257.786649460228,0,1.5
TON/USDT|1h|ote|3880:high:3645:5.455:structural|3889,TON/USDT,1h,ote,long,1726027200000,1727802000000,0.38823407353274403,accepted,10203.641307233085,10223.448313380955,19.807006147870368,1.5
NEAR/USDT|1h|ote|3855:high:3734:3.94:structural|3900,NEAR/USDT,1h,ote,long,1726063200000,1726959600000,1.418069328635742,capacity-rejected,10203.641307233085,10203.641307233085,0,1.5
