symbol,timeframe,variant,period,anchor,trigger,atr,scenario,stop_mode,setups,entered,resolved,tp1_pct,tp2_pct,sl_pct,ev_full,ev_be,long_in,long_ev_full,long_ev_be,short_in,short_ev_full,short_ev_be,sweep_in,sweep_ev_full,sweep_ev_be,nosweep_in,nosweep_ev_full,nosweep_ev_be,ev_full_net,ev_be_net,stop_tp_pct,ext141_pct,ext200_pct,ext241_pct,win_mae_med,win_mae_p90
BTC/USDT,30m,base,full,global,bos,0,ote,zero200,176,84,82,0.5714,0.3690,0.4048,0.0501,0.1097,47,0.1959,0.2917,37,-0.1273,-0.1117,70,0.0919,0.1749,14,-0.1720,-0.2364,0.0057,0.0646,0.0417,0.5714,0.3690,0.3214,-0.3303,-0.7521
BTC/USDT,30m,base,full,global,bos,0,deep,zero,176,25,25,0.2000,0.0800,0.8000,-0.2618,-0.3185,16,-0.0772,-0.2477,9,-0.5899,-0.4444,18,-0.1798,-0.3313,7,-0.4727,-0.2857,-0.3775,-0.4352,0.0870,0.2000,0.0800,0.0800,-0.4237,-0.7772
BTC/USDT,30m,base,full,global,bos,0,deep,zero200,176,25,25,0.2000,0.0800,0.8000,-0.2618,-0.3615,16,-0.0772,-0.2813,9,-0.5899,-0.5041,18,-0.1798,-0.3611,7,-0.4727,-0.3624,-0.3775,-0.4782,0.0870,0.2000,0.0800,0.0800,-0.4237,-0.7772
BTC/USDT,30m,base,full,global,bos,0,breaker,zero,97,41,41,0.7317,0.4634,0.2683,0.0317,0.2084,21,0.1414,0.3783,20,-0.0835,0.0300,27,0.0967,0.2767,14,-0.0936,0.0768,-0.0030,0.1730,0.1000,0.7317,0.5854,0.4634,-0.2735,-0.5970
BTC/USDT,30m,base,full,global,bos,0,breaker161,zero,81,24,24,0.7083,0.5417,0.2917,-0.0013,0.2354,10,0.1280,0.4575,14,-0.0936,0.0768,15,-0.0600,0.1793,9,0.0967,0.3289,-0.0346,0.2017,0.0000,0.7083,0.5833,0.5417,-0.2477,-0.6300
BTC/USDT,30m,base,full,global,bos,0,oteRegime,zero,83,39,38,0.5897,0.4103,0.3846,0.0858,0.2805,22,0.3668,0.7039,17,-0.2613,-0.2425,33,0.1959,0.4322,6,-0.6412,-0.7206,0.0423,0.2365,0.1000,0.5897,0.4615,0.4103,-0.2726,-0.6440
BTC/USDT,30m,base,full,global,bos,0,deepRegime,zero,83,12,12,0.0833,0.0833,0.9167,-0.6924,-0.5833,6,-0.3848,-0.1667,6,-1.0000,-1.0000,9,-0.5899,-0.4444,3,-1.0000,-1.0000,-0.8114,-0.7024,0.0909,0.0833,0.0833,0.0833,-0.3201,-0.3201
BTC/USDT,30m,base,full,global,bos,5,ote,zero,174,83,81,0.5663,0.3133,0.4096,0.0409,0.1422,46,0.1823,0.3433,37,-0.1273,-0.0970,69,0.0816,0.2069,14,-0.1720,-0.1963,-0.0034,0.0971,0.0577,0.5663,0.3614,0.3133,-0.3317,-0.7521
BTC/USDT,30m,base,full,global,bos,5,ote,zero200,174,83,81,0.5663,0.3614,0.4096,0.0409,0.0966,46,0.1823,0.2717,37,-0.1273,-0.1117,69,0.0816,0.1603,14,-0.1720,-0.2364,-0.0034,0.0516,0.0417,0.5663,0.3614,0.3133,-0.3317,-0.7521
BTC/USDT,30m,base,full,global,bos,5,deep,zero,174,25,25,0.2000,0.0800,0.8000,-0.2618,-0.3185,16,-0.0772,-0.2477,9,-0.5899,-0.4444,18,-0.1798,-0.3313,7,-0.4727,-0.2857,-0.3775,-0.4352,0.0870,0.2000,0.0800,0.0800,-0.4237,-0.7772
BTC/USDT,30m,base,full,global,bos,5,deep,zero200,174,25,25,0.2000,0.0800,0.8000,-0.2618,-0.3615,16,-0.0772,-0.2813,9,-0.5899,-0.5041,18,-0.1798,-0.3611,7,-0.4727,-0.3624,-0.3775,-0.4782,0.0870,0.2000,0.0800,0.0800,-0.4237,-0.7772
BTC/USDT,30m,base,full,global,bos,5,breaker,zero,96,41,41,0.7317,0.4634,0.2683,0.0317,0.2084,21,0.1414,0.3783,20,-0.0835,0.0300,27,0.0967,0.2767,14,-0.0936,0.0768,-0.0030,0.1730,0.1000,0.7317,0.5854,0.4634,-0.2735,-0.5970
BTC/USDT,30m,base,full,global,bos,5,breaker161,zero,81,24,24,0.7083,0.5417,0.2917,-0.0013,0.2354,10,0.1280,0.4575,14,-0.0936,0.0768,15,-0.0600,0.1793,9,0.0967,0.3289,-0.0346,0.2017,0.0000,0.7083,0.5833,0.5417,-0.2477,-0.6300
BTC/USDT,30m,base,full,global,bos,5,oteRegime,zero,82,38,37,0.5789,0.3947,0.3947,0.0666,0.2494,21,0.3454,0.6676,17,-0.2613,-0.2425,32,0.1772,0.4010,6,-0.6412,-0.7206,0.0235,0.2057,0.1000,0.5789,0.4474,0.3947,-0.2649,-0.6440
BTC/USDT,30m,base,full,global,bos,5,deepRegime,zero,82,12,12,0.0833,0.0833,0.9167,-0.6924,-0.5833,6,-0.3848,-0.1667,6,-1.0000,-1.0000,9,-0.5899,-0.4444,3,-1.0000,-1.0000,-0.8114,-0.7024,0.0909,0.0833,0.0833,0.0833,-0.3201,-0.3201
BTC/USDT,30m,base,full,global,choch,0,ote,zero,138,99,99,0.5455,0.2929,0.4545,-0.0215,0.0646,50,-0.0313,0.0436,49,-0.0115,0.0860,79,-0.0917,-0.0311,20,0.2557,0.4427,-0.1034,-0.0189,0.2029,0.5556,0.3535,0.2929,-0.3523,-0.7778
BTC/USDT,30m,base,full,global,choch,0,ote,zero200,138,99,99,0.5455,0.3535,0.4545,-0.0215,0.0350,50,-0.0313,0.0324,49,-0.0115,0.0377,79,-0.0917,-0.0483,20,0.2557,0.3640,-0.1034,-0.0479,0.2188,0.5556,0.3535,0.2929,-0.3523,-0.7778
BTC/USDT,30m,base,full,global,choch,0,deep,zero,138,62,62,0.2742,0.1452,0.7258,0.0121,0.0285,33,-0.2170,-0.1003,29,0.2728,0.1749,53,0.0447,0.0645,9,-0.1798,-0.1838,-0.1931,-0.1788,0.2075,0.3065,0.1774,0.1452,-0.2841,-0.7683
BTC/USDT,30m,base,full,global,choch,0,deep,zero200,138,62,62,0.2742,0.1774,0.7258,0.0121,0.0189,33,-0.2170,-0.1174,29,0.2728,0.1739,53,0.0447,0.0634,9,-0.1798,-0.2435,-0.1931,-0.1872,0.2157,0.3065,0.1774,0.1452,-0.2841,-0.7683
