time,open,high,low,close,GGI Mean,GGI Upper Outer,GGI Upper Inner,GGI Lower Inner,GGI Lower Outer,Shapes,Shapes
1781632800,65949.1,66263.6,65770.6,65817.7,65152.29642341526,68506.229703327,67088.26986650343,63272.18957488678,61962.56526781855,0,0
1781636400,65817.7,65817.7,65525,65656.3,65184.84242264552,68554.82039882544,67129.99118456498,63296.0560054729,61980.52386317573,0,0
1781640000,65656.3,65838.5,65558.8,65826.9,65216.52451554602,68601.26326453318,67170.11428252472,63319.75336527521,61998.78642884577,0,0
1781643600,65826.9,65918.4,65624,65748.7,65247.37044979346,68645.765569091,67208.7696155297,63343.21212791372,62017.21716291078,0,0
1781647200,65748.7,65850,65650,65748.5,65277.37264422901,68687.43898416634,67245.44675189113,63366.89820881743,62036.60294156264,0,0
1781650800,65748.5,65810.1,65588.5,65640,65306.47114000836,68726.5025630295,67280.24525045315,63390.60086485074,62056.63046579952,0,0
1781654400,65640,65827.4,65640,65681.7,65334.71185566439,68762.73322219332,67313.05758075566,63414.51015119335,62077.58728073632,0,0
1781658000,65681.7,65922,65421.3,65902.6,65362.13521595054,68799.29137571786,67345.70586908038,63436.98777607807,62096.69655836081,0,0
1781661600,65902.6,66108.3,65750,65875.4,65388.90566095888,68834.89616621152,67377.52927712772,63458.97555773439,62115.42722768814,0,0
1781665200,65875.4,65875.4,65680.8,65828.4,65414.91382859535,68867.8562542556,67407.51518084975,63481.21481294769,62135.09732906973,0,0
1781668800,65828.4,66020.9,65765.7,65863,65440.2520456052,68898.92486476868,67436.1333831817,63503.44204136051,62155.20193091061,0,0
1781672400,65863,65952.3,65708.4,65801.2,65464.86458808017,68927.98184024854,67463.29140866731,63525.63603182095,62175.7431614397,0,0
1781676000,65801.2,65867.4,65534.4,65593.3,65488.60921542204,68955.79831110676,67489.36848179669,63547.163552538346,62195.754991055874,0,0
1781679600,65593.3,65685.1,65159.5,65505.9,65511.29291610733,68984.07783823884,67515.25432171712,63566.8123101408,62213.33435236629,0,0
1781683200,65505.9,65545.3,64805,64896.4,65532.58255876427,69014.5247347487,67541.77877065039,63583.1548263487,62226.31240781365,0,0
