time,open,high,low,close,GGI Mean,GGI Upper Inner,GGI Lower Inner,Shapes,Shapes
1781935200,63645.9,63680.4,63628,63657.8,63436.282487892895,63816.64683312794,63058.18521625551,0,0
1781935500,63657.8,63680,63613.5,63619.5,63440.33204445477,63821.20124640581,63061.73577604559,0,0
1781935800,63619.5,63654.1,63607.6,63654.1,63444.396961171544,63825.6336476752,63065.437438290566,0,0
1781936100,63654.1,63662,63605.6,63632.5,63448.46762377519,63829.99365046564,63069.222062751694,0,0
1781936400,63632.5,63729.7,63621.3,63681.4,63452.58229832808,63834.604469331585,63072.84636282884,0,0
1781936700,63681.4,63681.4,63640,63668.4,63456.72145884728,63839.07402510833,63076.65892399972,0,0
1781937000,63668.4,63677.6,63658.1,63664.8,63460.883493497626,63843.28884624991,63080.76865328716,0,0
1781937300,63664.8,63710,63660.5,63703,63465.08681598263,63847.441998517155,63085.021396060896,0,0
1781937600,63703,63726,63664.6,63720.2,63469.337552865,63851.60862493022,63089.35508676735,0,0
1781937900,63720.2,63729.9,63690,63729.9,63473.64206361426,63855.68014733635,63093.88965122285,0,0
1781938200,63729.9,63732,63696,63701.7,63477.98743557843,63859.62913611963,63098.626524787534,0,0
1781938500,63701.7,63720.3,63691.6,63704.2,63482.36335862117,63863.41317268589,63103.58713053605,0,0
1781938800,63704.2,63708.2,63600.1,63620.6,63486.70424378753,63867.40610234583,63108.27167897317,0,0
1781939100,63620.6,63620.7,63560,63610,63490.96305210595,63871.29363039863,63112.8972055975,0,0
1781939400,63610,63638.6,63594.8,63636.6,63495.16470495517,63875.01033657243,63117.577901995595,0,0
1781939700,63636.6,63723.2,63633.6,63723.1,63499.37499972242,63878.875931007,63122.12866285183,0,0
1781940000,63723.1,63757.9,63691.2,63748.5,63503.62725673459,63882.79377330043,63126.71122482655,0,0
1781940300,63748.5,63762.8,63701,63758.9,63507.923615009175,63886.739332310026,63131.35408133224,0,0
1781940600,63758.9,63766.3,63684.3,63684.3,63512.2298760476,63890.78879715462,63135.913952083785,0,0
1781940900,63684.3,63736.3,63674.7,63725,63516.54181978068,63894.82366519932,63140.49954787307,0,0
1781941200,63725,63748.8,63714.1,63714.1,63520.868201541474,63898.707986235735,63145.26262325602,0,0
1781941500,63714.1,63735.4,63673,63695.2,63525.18068556563,63902.5711298786,63150.01900208249,0,0
1781941800,63695.2,63712.8,63654.6,63654.6,63529.44953225518,63906.361273990515,63154.760768924905,0,0
1781942100,63654.6,63675.3,63615.1,63624.3,63533.63806256955,63910.054313913766,63159.43882067397,0,0
1781942400,63624.3,63633.2,63445.6,63606.9,63537.67210943305,63914.270122989874,63163.29310054516,0,0
1781942700,63606.9,63606.9,63512.7,63518.7,63541.53922634018,63918.458627945736,63166.842472751436,0,0
1781943000,63518.7,63524.1,63502.4,63522.2,63545.21407931551,63922.19391940472,63170.45747017505,0,0
