time,open,high,low,close,GGI Mean,GGI Upper Inner,GGI Lower Inner,Shapes,Shapes
1737072000,99945.8,102150,99906.1,101016.1,95635.01573076985,103661.488840854,88230.02964838807,0,0
1737086400,101016.1,101911.9,100907.6,101410.4,95660.5000210211,103707.73058350597,88237.69658042418,0,0
1737100800,101410.4,102579.3,101410.4,102205.4,95690.8689233274,103756.81068758393,88251.96471075772,0,0
1737115200,102205.4,104219.8,102164.4,103988.4,95727.13785089746,103814.66762588169,88269.65524898679,0,0
1737129600,103988.4,105815.8,103802,105788.5,95770.50963639273,103882.09726619248,88292.31173983369,0,0
1737144000,105788.5,105806.4,104026,104048.8,95820.19546133048,103956.89046952041,88320.35872542327,0,0
1737158400,104048.8,104617,103008,103530,95875.076112166,104036.96927941607,88353.4985993896,0,0
1737172800,103530,103750.2,102545.5,102773.7,95934.25989699729,104119.21499122081,88392.73541162061,0,0
1737187200,102773.7,103851.9,102244,103538.9,95997.6811630227,104205.85590608598,88436.05485072498,0,0
1737201600,103538.9,104963,103076.7,104521.4,96065.97654925943,104299.00464323549,88482.83722294761,0,0
1737216000,104521.4,104692.3,103107.3,104366,96138.76274494984,104396.55615573053,88534.16283524029,0,0
1737230400,104366,104738.6,103734.2,104520,96216.03211975253,104495.33312064681,88592.71089342165,0,0
1737244800,104520,105431.1,103970.9,104955.1,96297.9324144671,104598.0704663375,88656.43262784346,0,0
1737259200,104955.1,105618.8,104227.7,105158.7,96384.38907334389,104704.33082354761,88725.56067138781,0,0
1737273600,105158.7,105442.4,103427.9,104344.9,96474.60482050982,104816.71398437611,88796.42398120667,0,0
1737288000,104344.9,105700,104281.3,104904,96568.83842813064,104932.13074462861,88872.11656888772,0,0
1737302400,104904,106250,104471.3,106231.4,96667.44992836303,105052.92958303961,88951.3116173128,0,0
1737316800,106231.4,106476.5,99600,101310.7,96767.30830447785,105204.03423860225,89007.15665766732,0,0
1737331200,101310.7,102305.5,99500.1,101880,96867.13798338603,105360.69321180954,89058.28288571481,0,0
1737345600,101880,109951.7,101523.9,107172.9,96971.34974072619,105557.07961573156,89083.96011684286,0,0
1737360000,107172.9,109237.2,107153.9,108271.9,97081.42285478672,105758.82591975333,89115.99180063861,0,0
1737374400,108271.9,108767.6,104500,105000,97195.15385005694,105975.41175470123,89142.35647229895,0,1
1737388800,105000,107089.2,100519,103693.3,97310.21280630642,106217.18942441129,89150.14196593281,0,0
1737403200,103693.3,104343.2,101700,102258.7,97425.53031667351,106460.34842427754,89157.45719389872,0,0
1737417600,102258.7,103250,100000,102915.8,97540.3355185833,106707.55613844845,89160.66862906735,0,0
1737432000,102915.8,102949.9,101073.9,101962.7,97654.48828049922,106950.52762545412,89166.45193862985,0,0
1737446400,101962.7,103978.9,101707.6,103745.9,97768.96674519248,107192.5054762952,89173.87289297386,0,0
1737460800,103745.9,105340.4,102777.1,103931.7,97884.44836934666,107435.66678523472,89182.34995203748,0,0
1737475200,103931.7,107265.6,103800,107008.2,98002.59588431197,107686.51910662602,89189.51861146,0,0
1737489600,107008.2,107211,105330.3,106133.3,98123.37303482853,107935.91995963467,89202.89315487207,0,0
1737504000,106133.3,106387.4,105423.6,105588.9,98246.18407052751,108178.2577834361,89225.99496604117,0,0
1737518400,105588.9,106020,105029.4,105063.5,98370.44965137662,108413.32338899901,89257.89803429224,0,0
1737532800,105063.5,105463.2,104606.8,105112.6,98495.71790923683,108640.14607182205,89298.54015514995,0,0
1737547200,105112.6,105568,103625.7,104152.5,98621.2780477968,108864.34910083989,89341.97985027781,0,0
1737561600,104152.5,104742,103310,104613.8,98746.79638600425,109082.77039086472,89390.19206754201,0,0
1737576000,104613.8,104830,103572.7,103670.4,98871.97866029399,109294.22931443782,89443.5893415487,0,0
1737590400,103670.4,103780,102071.4,102411.6,98995.54984004179,109500.18680072275,89498.64995177809,0,0
1737604800,102411.6,102933.4,101527.8,102659,99117.10564106445,109698.58421377343,89556.31197133019,0,0
1737619200,102659,102669.6,101205.1,101921.5,99236.20127210676,109889.44151766194,89615.74021044867,0,0
1737633600,101921.5,106053.4,101277.8,105235.5,99354.9260783196,110094.07287520931,89663.33135133896,0,0
1737648000,105235.5,106875,103350,103736.6,99473.61349472094,110304.76920251115,89706.00141078816,0,0
1737662400,103736.6,106400,102147.3,103862.4,99591.67971945187,110524.91577661484,89739.97039173014,0,0
1737676800,103862.4,104240,102691.8,103831.5,99708.53267010943,110737.93497086669,89777.6492747657,0,0
1737691200,103831.5,105316,103747.6,105008.8,99825.13426758027,110945.06583932306,89819.74417837015,0,0
1737705600,105008.8,105733.4,104891.5,105384.1,99941.98048627292,111142.79547377782,89869.96791775986,0,0
1737720000,105384.1,106319.3,104622.3,105827.8,100059.18629731203,111336.43747105329,89924.20621580607,0,0
1737734400,105827.8,107118.6,105532.2,105734.3,100177.12157730464,111525.81771952545,89983.25134680553,0,0
1737748800,105734.3,105755.3,104386.7,104800.1,100294.59615271329,111708.61362330869,90046.82531783725,0,0
1737763200,104800.1,105227.3,104308.6,105146.5,100411.4406178588,111882.25197769335,90116.68275111218,0,0
1737777600,105146.5,105165.5,104175,104349.9,100527.2664935843,112047.01169659168,90191.88602759961,0,0
1737792000,104349.9,104640,104036.9,104619.1,100641.88596355532,112200.72153102951,90273.83310988887,0,0
1737806400,104619.1,105072,104405.7,104846.5,100755.56073112336,112344.38636748378,90362.17426152878,0,0
1737820800,104846.5,105276.1,104380.2,104997.8,100868.32631049129,112479.71667632804,90455.59104631895,0,0
1737835200,104997.8,105237.4,104638.9,104709.4,100980.0942792058,112605.16745010656,90555.16431033594,0,0
1737849600,104709.4,105217.5,104466.9,105024.5,101090.84007547586,112721.95060591688,90659.87495987328,0,0
1737864000,105024.5,105591.5,104903.9,104966,101200.73614604435,112830.1872945104,90769.9370361639,0,0
1737878400,104966,105200,104400,104773.6,101309.37765731984,112930.42025443142,90884.19203780223,0,0
1737892800,104773.6,105053.7,104654.6,104934.4,101416.79881176986,113020.6387339866,91004.32625792685,0,0
1737907200,104934.4,105243.6,104861.5,105056.7,101523.11133230048,113101.2474071015,91130.22509372888,0,0
1737921600,105056.7,105188.4,102457.1,102553.7,101626.70492305479,113184.7051180104,91248.96462600067,0,0
1737936000,102553.7,103217.8,100667.7,101345,101726.00841629831,113268.25913169015,91359.93496890945,0,0
1737950400,101345,101347.1,97694.2,98986.3,101818.75709755796,113356.37891945585,91455.45575567223,0,0
1737964800,98986.3,99478.6,98208,98700,101904.58940029837,113433.56168397756,91547.3796879836,0,0
1737979200,98700,102270.4,98655.6,101055.2,101985.55010650674,113516.43011090237,91625.96480848861,0,0
1737993600,101055.2,101195.5,98793.3,99649.9,102060.9970654263,113596.47276957748,91696.92392754125,0,0
1738008000,99649.9,102376.8,99549.6,102024.2,102132.49617374127,113677.74493780421,91759.79678684114,0,0
1738022400,102024.2,102910.4,101280,102594.9,102201.05985092201,113753.73879714242,91821.65566688284,0,0
1738036800,102594.9,103329.9,102458.4,102745.3,102267.30665634574,113820.6122013651,91886.7137372296,0,0
1738051200,102745.3,103178.1,102322.7,102703.8,102331.16537811716,113878.47670124953,91954.7548490229,0,0
1738065600,102703.8,103800,101767,102718.8,102392.70153440592,113934.73964740791,92019.91736637507,0,0
1738080000,102718.8,103077.6,101739.8,102375.4,102451.60291338348,113984.88590890788,92085.28706086394,0,0
1738094400,102375.4,102490,100205.7,101278,102506.88183420227,114033.80794991387,92145.1367123187,0,0
1738108800,101278,102266,101265.3,101970.4,102559.13435610605,114074.22760699475,92206.41910556187,0,0
1738123200,101970.4,102847.4,101899.9,102700.1,102609.06703040567,114106.8099839411,92269.87099483403,0,0
1738137600,102700.1,102974,102150,102591.5,102656.81659880339,114131.20079421854,92336.0301202946,0,0
1738152000,102591.5,102781.2,101516.2,101919.3,102701.9457911777,114149.87368048182,92402.11424866015,0,0
1738166400,101919.3,103985.2,101335.9,103536.1,102745.3739647751,114172.28708506573,92462.12141915076,0,0
1738180800,103536.1,104777,102800,103700,102787.90612759344,114194.94712718474,92520.3252148082,0,0
1738195200,103700,105293.9,103235,105166.3,102830.30795376508,114219.106081036,92577.08799055111,0,0
1738209600,105166.3,105582.2,104777,105100,102873.10157781169,114237.82770146,92638.97293193634,0,0
1738224000,105100,105534,104901,105281.5,102916.31086231794,114250.4052162146,92706.60372245283,0,0
1738238400,105281.5,106421.1,104628,105516.5,102960.14421507056,114264.16739248019,92774.41510054508,0,0
1738252800,105516.5,105970,104711,105676,103004.46819748172,114275.86336163084,92844.8069131666,0,0
1738267200,105676,105789,104633,104684.6,103048.8261582312,114284.5384522668,92917.73599824807,0,0
1738281600,104684.6,104976.2,103875,104273.2,103092.54665972789,114289.34559810942,92992.68554884421,0,0
1738296000,104273.2,104761.1,103911,104146.1,103135.5177885754,114288.8585858363,93070.62089108813,0,0
1738310400,104146.1,104796,103863,104675,103177.894557717,114283.98095794066,93151.09463399985,0,0
1738324800,104675,105998,104050.1,105404.7,103220.3333890331,114281.58544674308,93229.69385919368,0,0
1738339200,105404.7,105535.7,102058.5,102232,103260.99748038017,114288.81998049305,93297.25866854716,0,0
1738353600,102232,102419.9,101468.4,102377.6,103298.77089799827,114289.05281749413,93365.33820152361,0,0
1738368000,102377.6,102735,102117.5,102173.1,103333.98744829524,114280.81964899776,93435.74008972454,0,0
1738382400,102173.1,102517.3,102033,102112.1,103366.60414033075,114263.56860499432,93508.84960052639,0,0
1738396800,102112.1,102222.9,101350.1,101966.9,103396.3345412211,114239.6788794284,93582.21330299317,0,0
1738411200,101966.9,102233,101670.3,102023.4,103423.39965438569,114207.7192977343,93657.4135430002,0,0
1738425600,102023.4,102220,101404,101622.6,103447.66523408573,114169.37306995857,93732.83880455447,0,0
1738440000,101622.6,101622.6,100215.1,100576.5,103468.29678310484,114127.59416124021,93804.55724030771,0,0
1738454400,100576.5,101410,99100.3,99157.1,103484.51894424586,114087.17857480796,93867.21448370261,0,0
1738468800,99157.1,100434.1,98958,99569.9,103496.27035052454,114042.77041665543,93925.09439515075,0,0
1738483200,99569.9,100057.8,98580,98824.4,103503.2300594212,113994.08303636686,93977.84821266374,0,0
1738497600,98824.4,99364.6,98100,99292.7,103505.36163045981,113939.81897765484,94026.47803357753,0,0
1738512000,99292.7,99308.6,96625,98223.3,103501.99320244689,113888.29347336428,94062.89505413298,0,0
1738526400,98223.3,98575,95994.3,97645.7,103492.70586772094,113838.1740914522,94087.420615321,0,0
1738540800,97645.7,97737.5,91166.6,93998.2,103474.5323174431,113812.38293240262,94075.6933687334,0,0
1738555200,93998.2,95336,92609.9,95247.1,103447.98340695591,113785.01927816901,94050.03698073838,0,0
1738569600,95247.1,95885.5,94703,95052.3,103414.31428484482,113746.91561959138,94020.31115086052,0,0
1738584000,95052.3,99468.8,94091,98804,103376.19536805472,113727.67724292359,93966.90434420323,0,0
1738598400,98804,101840,97979.5,101831.8,103336.98150199722,113719.51502408292,93902.36797688303,0,0
1738612800,101831.8,102457.8,100867.2,101294.8,103297.73638562317,113708.89110936901,93839.8241183315,0,0
1738627200,101294.8,101684.7,100500,100580.5,103257.89124308738,113692.8397120956,93780.68250356955,0,0
1738641600,100580.5,100727,98170.6,98409.6,103215.69945009728,113678.21362153899,93716.11563532049,0,0
1738656000,98409.6,99445.5,97800,98923.4,103170.92516914716,113659.0005717073,93650.6545607211,0,0
1738670400,98923.4,100381.1,98248.5,99310.1,103124.32128747723,113639.01630689148,93582.5210971833,0,0
1738684800,99310.1,100765.5,98734,98828.6,103076.14519190916,113617.77698578901,93512.58218115327,0,0
1738699200,98828.6,99464.7,96086.1,97706,103024.80971650731,113602.1929207459,93432.27577065724,0,0
1738713600,97706,98900,97094.2,98000.3,102970.75703620652,113582.40253971523,93350.52409110677,0,0
1738728000,98000.3,98309.6,97313.9,97814.3,102913.97442529158,113553.33948355787,93271.4632628057,0,0
1738742400,97814.3,98198.4,97209.6,98186.2,102854.69389364881,113515.46380749508,93195.12691149038,0,0
1738756800,98186.2,99170,97700.1,98064.2,102793.5386840618,113472.65467132906,93119.4535440928,0,0
1738771200,98064.2,98265.9,96450,97331.8,102729.67874243195,113426.3773986418,93041.73452911178,0,0
1738785600,97331.8,97671.8,96100.1,96568.5,102662.71875366205,113374.7014500838,92962.8363919782,0,0
1738800000,96568.5,97480.4,96363.1,97308.9,102593.14232240338,113315.34926577493,92885.49980019279,0,0
1738814400,97308.9,98400,97230,98164.9,102522.03155996125,113249.97763875817,92810.32256543716,0,0
1738828800,98164.9,99099,97816.5,98829,102450.18104379032,113180.29671377726,92737.33945448957,0,0
1738843200,98829,99000,96880,97292.6,102376.83279136273,113110.88764827278,92661.42376127564,0,0
1738857600,97292.6,97499,95631.8,95953.5,102300.74128847946,113038.8631288178,92582.68686094365,0,0
1738872000,95953.5,97050,95750,96500,102222.1810925503,112960.92162755408,92504.32943324425,0,0
1738886400,96500,97791.7,96365.7,97407.6,102142.11229112615,112878.99372823907,92426.5069939491,0,0
1738900800,97407.6,97833.3,96532.6,96694.9,102060.51333508997,112792.35841472549,92349.77022044592,0,0
1738915200,96694.9,97718.4,96560.9,97706,101977.84799677375,112700.76764023647,92275.16102863051,0,0
1738929600,97706,100120,97139.1,98245.5,101895.42621140296,112616.98770192314,92194.59776605411,0,0
1738944000,98245.5,98550,96823.1,96852.7,101812.22274906305,112531.9014082391,92113.69017484582,0,0
1738958400,96852.7,96890.9,95556.5,96440.6,101727.22863953232,112442.09029315894,92033.41043998084,0,0
1738972800,96440.6,96840,96273,96646.8,101640.90675162218,112343.33136860661,91958.05215527756,0,0
1738987200,96646.8,96646.8,95723.8,96160,101552.98780699316,112237.93384045095,91885.23861449111,0,0
1739001600,96160,96250,95819.4,96080,101463.50387123151,112123.06845781502,91817.34641610102,0,0
1739016000,96080,96444,95635.8,95802.9,101372.52611642935,112001.57056978352,91752.18703583589,0,0
1739030400,95802.9,96700,95703,96541.4,101280.57456784553,111875.44791769663,91689.06114538408,0,0
1739044800,96541.4,96664.8,96302,96406.8,101187.93146005286,111741.21576566299,91631.3412468768,0,0
1739059200,96406.8,97266.8,96314.4,97266.8,101095.21773860349,111603.60623588868,91576.27960528301,0,0
1739073600,97266.8,97275,96727,97013.9,101002.58613512127,111460.45566418947,91525.93487252523,0,0
