symbol,timeframe,scenario,entryAt,chopCut,alignCut,netRCanon,netRT100
BTC/USDT,30m,deep,1753774200000,true,false,3.816061587674495,1.4326715353184571
BTC/USDT,30m,ote,1753912800000,true,true,-1.114235094111637,-1.114235094111637
BTC/USDT,30m,deep,1753921800000,true,true,-1.2357894868370347,-1.2357894868370347
BTC/USDT,30m,ote,1754249400000,true,false,0.2894969936697448,0.1730333376681418
BTC/USDT,30m,deep,1754316000000,true,false,1.1233519293832774,1.4128832549925352
BTC/USDT,30m,ote,1754434800000,true,false,-1.0948557821135312,0.19169580726146468
BTC/USDT,30m,deep,1754490600000,true,false,-1.1959147768095166,-1.1959147768095166
BTC/USDT,30m,ote,1754530200000,false,false,1.35865212548295,0.20147019164070948
BTC/USDT,30m,ote,1754845200000,true,false,1.2997808540577718,0.14259892021552578
BTC/USDT,30m,deep,1755174600000,true,false,3.7327501342654665,1.3517422808623114
BTC/USDT,30m,ote,1755174600000,true,false,-1.0265732361785798,0.2487514391460962
BTC/USDT,30m,ote,1754940600000,true,false,-1.0225891302065664,0.252166387122108
BTC/USDT,30m,ote,1755151200000,true,false,-1.0484879944482999,-1.0484879944482999
BTC/USDT,30m,deep,1755174600000,true,false,-1.0990281770585433,-1.0990281770585433
BTC/USDT,30m,ote,1755536400000,true,false,1.3650997711051247,0.2067600764486353
BTC/USDT,30m,ote,1757707200000,true,false,-1.1284868644347712,0.1613969006407865
BTC/USDT,30m,deep,1757781000000,true,false,-1.2636331817951088,1.3904208479153661
BTC/USDT,30m,ote,1758490200000,true,false,1.0181499319611005,-0.1401897626953817
BTC/USDT,30m,ote,1759224600000,false,false,1.3967422231981703,0.23956028935593107
BTC/USDT,30m,ote,1759656600000,true,false,0.31428786543867204,0.19601136688369264
BTC/USDT,30m,deep,1759681800000,true,false,1.1765823618711804,1.4616432836926032
BTC/USDT,30m,ote,1759942800000,true,false,1.3673808075346583,0.2090411128781697
BTC/USDT,30m,ote,1759919400000,true,false,1.3843463533284863,0.22600665867199926
BTC/USDT,30m,ote,1760043600000,true,false,1.380067904216085,0.2217282095595955
BTC/USDT,30m,ote,1760866200000,true,false,0.2927693073321824,0.17605393489500643
BTC/USDT,30m,ote,1761130800000,true,false,0.24856284940401235,0.13534212131323356
BTC/USDT,30m,deep,1761130800000,true,false,1.041347119454332,1.3368107522308985
BTC/USDT,30m,ote,1761019200000,false,false,0.36558080342785537,0.24335869425832157
BTC/USDT,30m,ote,1761080400000,true,false,0.3749714433486405,0.2520269772621239
BTC/USDT,30m,deep,1761130800000,true,false,1.3014443834346348,1.5769005343665654
BTC/USDT,30m,ote,1761076800000,true,false,-1.0195767729764487,0.25474840760506545
BTC/USDT,30m,deep,1761130800000,true,false,-1.0395406899463053,1.5825001266428778
BTC/USDT,30m,ote,1761249600000,true,false,0.28565066660757804,0.16957702950114237
BTC/USDT,30m,deep,1761251400000,true,false,3.788260065936935,1.4072522125337863
BTC/USDT,30m,ote,1761661800000,true,true,0.22144415998554648,0.11030948492696019
BTC/USDT,30m,deep,1761678000000,true,true,0.9855479312791665,1.2853038092999842
BTC/USDT,30m,ote,1761724800000,true,false,1.3823120309283805,0.22397233627188987
BTC/USDT,30m,ote,1761802200000,true,false,1.4089867975852735,0.25064710292878517
BTC/USDT,30m,ote,1761868800000,true,false,1.3864928895893756,0.22815319493288644
BTC/USDT,30m,deep,1761885000000,true,false,3.909687463919501,1.5262974115634789
BTC/USDT,30m,ote,1762189200000,true,false,1.3968718017619466,0.23853210710545744
BTC/USDT,30m,ote,1762356600000,false,false,1.414434873207047,0.2560951785505587
