ladder,symbol,timeframe,scenario,entryAt,direction,netR
t100-141-241,BTC/USDT,15m,ote,1768203000000,long,-1.0844259800633398
t100-161-241,BTC/USDT,15m,ote,1768203000000,long,-1.0844259800633398
t100-only,BTC/USDT,15m,ote,1768203000000,long,-1.0844259800633398
canon,BTC/USDT,15m,deep,1768206600000,long,-1.172973875208863
t100-241,BTC/USDT,15m,deep,1768206600000,long,-1.172973875208863
t100-141-241,BTC/USDT,15m,deep,1768206600000,long,-1.172973875208863
t100-161-241,BTC/USDT,15m,deep,1768206600000,long,-1.172973875208863
t100-only,BTC/USDT,15m,deep,1768206600000,long,-1.172973875208863
canon,BTC/USDT,15m,ote,1768415400000,long,-1.0599722154674855
t100-241,BTC/USDT,15m,ote,1768415400000,long,0.07972576357263073
t100-141-241,BTC/USDT,15m,ote,1768415400000,long,0.032926437225925254
t100-161-241,BTC/USDT,15m,ote,1768415400000,long,0.032926437225925254
t100-only,BTC/USDT,15m,ote,1768415400000,long,0.22012374261274711
canon,BTC/USDT,15m,ote,1768462200000,short,0.3059992809646226
t100-241,BTC/USDT,15m,ote,1768462200000,short,0.045054624476072905
t100-141-241,BTC/USDT,15m,ote,1768462200000,short,-0.0026825734479105356
t100-161-241,BTC/USDT,15m,ote,1768462200000,short,-0.0026825734479105356
t100-only,BTC/USDT,15m,ote,1768462200000,short,0.18826621824802325
canon,BTC/USDT,15m,ote,1768596300000,short,1.3835146583428681
t100-241,BTC/USDT,15m,ote,1768596300000,short,1.1225700018543179
t100-141-241,BTC/USDT,15m,ote,1768596300000,short,0.9974014267907043
t100-161-241,BTC/USDT,15m,ote,1768596300000,short,1.0822614776812898
t100-only,BTC/USDT,15m,ote,1768596300000,short,0.2251749636863768
canon,BTC/USDT,15m,ote,1768707900000,short,1.1827722832622505
t100-241,BTC/USDT,15m,ote,1768707900000,short,-0.1324318076363712
t100-141-241,BTC/USDT,15m,ote,1768707900000,short,-0.18471993971708378
t100-161-241,BTC/USDT,15m,ote,1768707900000,short,-0.18471993971708378
t100-only,BTC/USDT,15m,ote,1768707900000,short,0.02443258860576658
